epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.43384,2.84287,13.7444,2.24754,0,0,0,0,0,45.1989,0,1.667e-05,1.667e-05,1.667e-05
2,19.0047,2.54146,11.499,1.80562,0,0,0,0,0,47.0249,0,4.90198e-05,4.90198e-05,4.90198e-05
3,27.8225,1.11898,20.8641,0.95041,0,0,0,0,0,43.4235,0,8.00493e-05,8.00493e-05,8.00493e-05
4,36.7113,2.18823,7.3131,1.35562,0,0,0,0,0,62.4052,0,0.000109759,0.000109759,0.000109759
5,45.5591,1.45482,18.1729,1.04845,0,0,0,0,0,98.1475,0,0.000138148,0.000138148,0.000138148
6,54.3202,1.54964,4.91941,1.29023,0,0,0,0,0,106.267,0,0.000165216,0.000165216,0.000165216
7,63.1536,0.82868,13.2919,0.65434,0,0,0,0,0,80.7704,0,0.000190965,0.000190965,0.000190965
8,72.0214,1.24729,3.75062,1.22069,0,0,0,0,0,61.9269,0,0.000215393,0.000215393,0.000215393
9,80.5511,0.98112,2.77265,0.96937,0,0,0,0,0,56.0329,0,0.000238501,0.000238501,0.000238501
10,89.1882,1.06577,2.32127,1.03734,0,0,0,0,0,45.1219,0,0.000260289,0.000260289,0.000260289
11,97.557,1.3788,2.12967,1.05911,0,0,0,0,0,29.5436,0,0.000280756,0.000280756,0.000280756
12,106.006,0.82798,7.44006,0.57947,0,0,0,0,0,27.2673,0,0.000299903,0.000299903,0.000299903
13,114.514,1.16265,1.9027,0.96418,0,0,0,0,0,25.0478,0,0.00031773,0.00031773,0.00031773
14,123.048,2.00511,3.34123,1.22544,0,0,0,0,0,54.3827,0,0.000334237,0.000334237,0.000334237
15,131.493,1.08984,6.17026,1.11093,0,0,0,0,0,206.151,0,0.000349423,0.000349423,0.000349423
16,139.898,1.57024,2.06897,1.46421,0,0,0,0,0,336.24,0,0.000363289,0.000363289,0.000363289
17,148.408,2.69848,1.86448,2.53845,0,0,0,0,0,395.99,0,0.000375835,0.000375835,0.000375835
18,156.784,0.59273,4.02871,0.48453,0,0,0,0,0,405.504,0,0.000387061,0.000387061,0.000387061
19,165.231,1.54223,1.85149,1.25883,0,0,0,0,0,295.657,0,0.000396966,0.000396966,0.000396966
20,173.575,1.42089,1.70272,1.20515,0,0,0,0,0,209.392,0,0.000405551,0.000405551,0.000405551
21,181.858,1.24566,1.22286,1.08787,0,0,0,0,0,141.808,0,0.000412816,0.000412816,0.000412816
22,190.229,1.40232,1.69037,1.08311,0,0,0,0,0,75.2536,0,0.00041876,0.00041876,0.00041876
23,198.751,1.5141,1.78796,1.17557,0,0,0,0,0,15.1916,0,0.000423385,0.000423385,0.000423385
24,207.077,1.58965,1.61654,1.22564,0,0,0,0,0,20.83,0,0.000426689,0.000426689,0.000426689
25,215.366,0.54791,2.07046,0.54662,0,0,0,0,0,23.6235,0,0.000428672,0.000428672,0.000428672
26,223.736,0.77266,2.54742,0.60316,0,0,0,0,0,12.2952,0,0.000429336,0.000429336,0.000429336
27,232.053,0.61514,2.99647,0.53004,0,0,0,0,0,7.32876,0,0.000428679,0.000428679,0.000428679
28,240.365,0.62128,2.70917,0.6123,0,0,0,0,0,7.32876,0,0.000426702,0.000426702,0.000426702
29,249.135,1.66165,2.54834,1.26169,0,0,0,0,0,5.87887,0,0.000423405,0.000423405,0.000423405
30,257.942,1.71507,1.65454,1.31062,0,0,0,0,0,3.5145,0,0.000418787,0.000418787,0.000418787
31,267.177,1.13344,1.01118,1.20396,0,0,0,0,0,3.5145,0,0.000412849,0.000412849,0.000412849
32,275.913,1.18181,1.0671,1.15903,0,0,0,0,0,2.4375,0,0.000405591,0.000405591,0.000405591
33,284.817,0.82044,1.2633,0.97391,0,0,0,0,0,2.26117,0,0.000397013,0.000397013,0.000397013
34,293.804,0.64907,2.03169,0.61255,0,0,0,0,0,2.26117,0,0.000387114,0.000387114,0.000387114
35,302.686,0.85751,1.01041,0.85646,0,0,0,0,0,1.85907,0,0.000375895,0.000375895,0.000375895
36,311.48,0.86299,1.1362,1.02186,0,0,0,0,0,1.48568,0,0.000363356,0.000363356,0.000363356
37,320.308,1.09607,0.85134,1.09904,0,0,0,0,0,1.48568,0,0.000349497,0.000349497,0.000349497
38,329.115,0.44786,1.56458,0.45044,0,0,0,0,0,1.28725,0,0.000334317,0.000334317,0.000334317
39,337.911,0.80647,0.77782,1.02568,0,0,0,0,0,1.25238,0,0.000317817,0.000317817,0.000317817
40,346.612,1.19823,1.11941,1.15124,0,0,0,0,0,1.25238,0,0.000299997,0.000299997,0.000299997
41,355.553,1.26642,0.93854,1.3728,0,0,0,0,0,1.19381,0,0.000280856,0.000280856,0.000280856
42,364.559,1.26017,2.0869,1.43878,0,0,0,0,0,1.15538,0,0.000260395,0.000260395,0.000260395
43,373.336,1.13618,1.28412,1.19068,0,0,0,0,0,1.15538,0,0.000238614,0.000238614,0.000238614
44,382.031,0.56601,1.43332,0.56298,0,0,0,0,0,1.11656,0,0.000215513,0.000215513,0.000215513
45,390.809,0.63787,1.00533,0.91727,0,0,0,0,0,1.11656,0,0.000191092,0.000191092,0.000191092
46,399.755,0.68743,0.79596,0.89932,0,0,0,0,0,1.09426,0,0.00016535,0.00016535,0.00016535
47,408.44,0.55451,1.33528,0.56667,0,0,0,0,0,1.09426,0,0.000138288,0.000138288,0.000138288
48,417.249,0.46098,1.29175,0.46014,0,0,0,0,0,1.08655,0,0.000109905,0.000109905,0.000109905
49,425.889,0.3556,1.11441,0.49656,0,0,0,0,0,1.08655,0,8.02027e-05,8.02027e-05,8.02027e-05
50,434.718,0.46714,1.1893,0.50848,0,0,0,0,0,1.08424,0,4.91798e-05,4.91798e-05,4.91798e-05
